complaint_id,date_complaint,date_resolved,category,zone,priority,department,citizen_satisfaction,complaint_text,resolution_delay,severity_score,complaint_month,complaint_month_name,complaint_day_of_week,complaint_week
CMP000018,2024-11-04,2024-11-28,Street Light Failure,West Zone,Low,Electricity Department,2,Dark area at night in West Zone,24,1,11,November,Monday,45
CMP000019,2024-09-14,2024-10-07,Street Light Failure,South Zone,Medium,Electricity Department,2,Street light not working for a week in South Zone,23,2,9,September,Saturday,37
CMP000020,2024-12-09,2024-12-31,Water Supply,East Zone,Medium,Water Department,1,No water since morning in East Zone,22,2,12,December,Monday,50
CMP000021,2024-10-20,2024-10-22,Garbage Collection,South Zone,Low,Sanitation Department,5,Garbage not collected for 3 days in South Zone,2,1,10,October,Sunday,42
CMP000022,2024-07-10,2024-08-02,Street Light Failure,North Zone,Medium,Electricity Department,1,Street light not working for a week in North Zone,23,2,7,July,Wednesday,28
CMP000023,2024-10-03,2024-10-14,Garbage Collection,North Zone,Low,Sanitation Department,2,Overflowing trash bins in North Zone,11,1,10,October,Thursday,40
CMP000024,2024-06-09,2024-07-07,Street Light Failure,West Zone,Low,Electricity Department,2,Dark area at night in West Zone,28,1,6,June,Sunday,23
CMP000025,2024-11-09,2024-11-23,Garbage Collection,West Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in West Zone,14,1,11,November,Saturday,45
CMP000026,2024-01-22,2024-01-27,Road Damage,South Zone,High,Roads Department,3,Large pothole on main road in South Zone,5,3,1,January,Monday,4
CMP000027,2024-09-09,2024-09-15,Road Damage,South Zone,Low,Roads Department,3,Large pothole on main road in South Zone,6,1,9,September,Monday,37
CMP000028,2024-08-23,2024-09-02,Garbage Collection,Central Zone,Low,Sanitation Department,4,Missed garbage pickup in Central Zone,10,1,8,August,Friday,34
CMP000029,2024-12-10,2024-12-18,Water Supply,Central Zone,Medium,Water Department,2,Water supply irregular in Central Zone,8,2,12,December,Tuesday,50
CMP000030,2024-02-18,2024-03-03,Road Damage,East Zone,Low,Roads Department,3,Uneven road surface in East Zone,14,1,2,February,Sunday,7
CMP000031,2024-02-28,2024-03-23,Drainage Problem,West Zone,Medium,Drainage Department,1,Blocked drain causing water logging in West Zone,24,2,2,February,Wednesday,9
CMP000032,2024-06-18,2024-06-21,Drainage Problem,West Zone,High,Drainage Department,5,Drainage pipe broken in West Zone,3,3,6,June,Tuesday,25
CMP000033,2024-07-06,2024-07-18,Road Damage,South Zone,High,Roads Department,4,Road cracking in South Zone,12,3,7,July,Saturday,27
CMP000034,2024-09-27,2024-10-13,Street Light Failure,North Zone,Low,Electricity Department,2,Faulty street lamp in North Zone,16,1,9,September,Friday,39
CMP000035,2024-07-08,2024-08-05,Water Supply,North Zone,Medium,Water Department,3,No water since morning in North Zone,28,2,7,July,Monday,28
CMP000036,2024-06-23,2024-07-16,Water Supply,West Zone,Medium,Water Department,2,Low water pressure in West Zone,23,2,6,June,Sunday,25
CMP000037,2024-02-20,2024-03-08,Garbage Collection,West Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in West Zone,17,1,2,February,Tuesday,8
CMP000038,2024-12-29,2024-12-30,Road Damage,West Zone,Low,Roads Department,5,Road cracking in West Zone,1,1,12,December,Sunday,52
CMP000039,2024-02-24,2024-03-18,Water Supply,North Zone,Low,Water Department,1,Water supply irregular in North Zone,23,1,2,February,Saturday,8
CMP000040,2024-08-31,2024-09-10,Garbage Collection,West Zone,Low,Sanitation Department,3,Missed garbage pickup in West Zone,10,1,8,August,Saturday,35
CMP000041,2024-11-15,2024-12-10,Street Light Failure,West Zone,High,Electricity Department,3,Dark area at night in West Zone,25,3,11,November,Friday,46
CMP000042,2024-05-10,2024-06-02,Street Light Failure,Central Zone,Medium,Electricity Department,2,Dark area at night in Central Zone,23,2,5,May,Friday,19
CMP000043,2024-11-02,2024-11-12,Water Supply,North Zone,Low,Water Department,4,No water since morning in North Zone,10,1,11,November,Saturday,44
CMP000044,2024-05-14,2024-06-04,Garbage Collection,West Zone,Low,Sanitation Department,2,Overflowing trash bins in West Zone,21,1,5,May,Tuesday,20
CMP000045,2024-01-21,2024-02-14,Water Supply,North Zone,High,Water Department,2,No water since morning in North Zone,24,3,1,January,Sunday,3
CMP000046,2024-11-24,2024-11-26,Water Supply,West Zone,Low,Water Department,5,Low water pressure in West Zone,2,1,11,November,Sunday,47
CMP000047,2024-06-15,2024-06-24,Street Light Failure,West Zone,Medium,Electricity Department,4,Dark area at night in West Zone,9,2,6,June,Saturday,24
CMP000048,2024-09-30,2024-10-22,Water Supply,North Zone,Low,Water Department,2,Water supply irregular in North Zone,22,1,9,September,Monday,40
CMP000049,2024-03-29,2024-04-11,Street Light Failure,West Zone,High,Electricity Department,2,Faulty street lamp in West Zone,13,3,3,March,Friday,13
CMP000050,2024-11-11,2024-12-06,Drainage Problem,North Zone,Medium,Drainage Department,2,Blocked drain causing water logging in North Zone,25,2,11,November,Monday,46
CMP000051,2024-01-14,2024-01-30,Garbage Collection,West Zone,Low,Sanitation Department,3,Garbage not collected for 3 days in West Zone,16,1,1,January,Sunday,2
CMP000052,2024-08-29,2024-09-16,Public Safety,South Zone,Low,Police Department,2,Suspicious activity in South Zone,18,1,8,August,Thursday,35
CMP000053,2024-09-21,2024-10-10,Water Supply,West Zone,Medium,Water Department,1,Low water pressure in West Zone,19,2,9,September,Saturday,38
CMP000054,2024-12-11,2024-12-23,Garbage Collection,Central Zone,High,Sanitation Department,3,Overflowing trash bins in Central Zone,12,3,12,December,Wednesday,50
CMP000055,2024-02-22,2024-03-01,Water Supply,South Zone,Low,Water Department,4,No water since morning in South Zone,8,1,2,February,Thursday,8
CMP000056,2024-12-05,2024-12-22,Garbage Collection,East Zone,Medium,Sanitation Department,1,Overflowing trash bins in East Zone,17,2,12,December,Thursday,49
CMP000057,2024-04-01,2024-04-16,Garbage Collection,East Zone,Low,Sanitation Department,2,Missed garbage pickup in East Zone,15,1,4,April,Monday,14
CMP000058,2024-09-20,2024-09-30,Water Supply,North Zone,High,Water Department,2,Low water pressure in North Zone,10,3,9,September,Friday,38
CMP000059,2024-02-04,2024-02-19,Traffic Congestion,East Zone,Medium,Traffic Department,1,Heavy traffic jam in East Zone,15,2,2,February,Sunday,5
CMP000060,2024-07-24,2024-08-08,Drainage Problem,West Zone,Low,Drainage Department,2,Blocked drain causing water logging in West Zone,15,1,7,July,Wednesday,30
CMP000061,2024-03-21,2024-04-13,Street Light Failure,Central Zone,Low,Electricity Department,1,Dark area at night in Central Zone,23,1,3,March,Thursday,12
CMP000062,2024-02-19,2024-02-26,Garbage Collection,Central Zone,Low,Sanitation Department,5,Garbage not collected for 3 days in Central Zone,7,1,2,February,Monday,8
CMP000063,2024-12-25,2025-01-07,Street Light Failure,East Zone,Medium,Electricity Department,3,Faulty street lamp in East Zone,13,2,12,December,Wednesday,52
CMP000064,2024-01-02,2024-01-19,Street Light Failure,West Zone,Low,Electricity Department,2,Street light not working for a week in West Zone,17,1,1,January,Tuesday,1
CMP000065,2024-02-23,2024-03-03,Traffic Congestion,West Zone,Low,Traffic Department,3,Heavy traffic jam in West Zone,9,1,2,February,Friday,8
CMP000066,2024-04-15,2024-04-23,Traffic Congestion,East Zone,High,Traffic Department,4,Heavy traffic jam in East Zone,8,3,4,April,Monday,16
CMP000067,2024-09-16,2024-10-06,Drainage Problem,North Zone,Low,Drainage Department,2,Blocked drain causing water logging in North Zone,20,1,9,September,Monday,38
CMP000068,2024-11-05,2024-12-01,Water Supply,East Zone,Medium,Water Department,1,Water supply irregular in East Zone,26,2,11,November,Tuesday,45
CMP000069,2024-07-09,2024-08-05,Street Light Failure,West Zone,Low,Electricity Department,1,Street light not working for a week in West Zone,27,1,7,July,Tuesday,28
CMP000070,2024-08-05,2024-08-26,Garbage Collection,East Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in East Zone,21,1,8,August,Monday,32
CMP000071,2024-02-13,2024-03-02,Public Safety,West Zone,Low,Police Department,3,Suspicious activity in West Zone,18,1,2,February,Tuesday,7
CMP000072,2024-06-10,2024-06-23,Garbage Collection,North Zone,Medium,Sanitation Department,3,Missed garbage pickup in North Zone,13,2,6,June,Monday,24
CMP000073,2024-07-20,2024-08-05,Garbage Collection,Central Zone,Medium,Sanitation Department,1,Missed garbage pickup in Central Zone,16,2,7,July,Saturday,29
CMP000074,2024-09-26,2024-10-05,Garbage Collection,East Zone,High,Sanitation Department,4,Overflowing trash bins in East Zone,9,3,9,September,Thursday,39
CMP000075,2024-12-16,2024-12-28,Traffic Congestion,West Zone,Low,Traffic Department,3,Signal not working in West Zone,12,1,12,December,Monday,51
CMP000076,2024-10-30,2024-11-11,Water Supply,North Zone,Low,Water Department,3,No water since morning in North Zone,12,1,10,October,Wednesday,44
CMP000077,2024-09-27,2024-10-03,Water Supply,North Zone,High,Water Department,3,No water since morning in North Zone,6,3,9,September,Friday,39
CMP000078,2024-08-02,2024-08-21,Public Safety,West Zone,Low,Police Department,1,Suspicious activity in West Zone,19,1,8,August,Friday,31
CMP000079,2024-09-08,2024-10-06,Drainage Problem,Central Zone,Low,Drainage Department,1,Blocked drain causing water logging in Central Zone,28,1,9,September,Sunday,36
CMP000080,2024-07-08,2024-07-15,Water Supply,South Zone,Low,Water Department,4,No water since morning in South Zone,7,1,7,July,Monday,28
CMP000081,2024-10-22,2024-11-16,Garbage Collection,North Zone,Medium,Sanitation Department,3,Garbage not collected for 3 days in North Zone,25,2,10,October,Tuesday,43
CMP000082,2024-07-31,2024-08-03,Drainage Problem,South Zone,High,Drainage Department,4,Sewage overflow in South Zone,3,3,7,July,Wednesday,31
CMP000083,2024-07-26,2024-08-11,Drainage Problem,North Zone,Low,Drainage Department,2,Sewage overflow in North Zone,16,1,7,July,Friday,30
CMP000084,2024-08-24,2024-09-11,Road Damage,North Zone,Low,Roads Department,2,Large pothole on main road in North Zone,18,1,8,August,Saturday,34
CMP000085,2024-12-03,2024-12-19,Street Light Failure,West Zone,Medium,Electricity Department,2,Street light not working for a week in West Zone,16,2,12,December,Tuesday,49
CMP000086,2024-02-22,2024-03-16,Garbage Collection,Central Zone,High,Sanitation Department,3,Overflowing trash bins in Central Zone,23,3,2,February,Thursday,8
CMP000087,2024-10-06,2024-10-13,Traffic Congestion,North Zone,Low,Traffic Department,4,Road blocked due to congestion in North Zone,7,1,10,October,Sunday,40
CMP000088,2024-08-04,2024-08-08,Street Light Failure,East Zone,High,Electricity Department,5,Street light not working for a week in East Zone,4,3,8,August,Sunday,31
CMP000089,2024-09-08,2024-10-05,Road Damage,South Zone,Low,Roads Department,1,Large pothole on main road in South Zone,27,1,9,September,Sunday,36
CMP000090,2024-07-06,2024-07-31,Garbage Collection,North Zone,Low,Sanitation Department,1,Overflowing trash bins in North Zone,25,1,7,July,Saturday,27
CMP000091,2024-02-10,2024-02-18,Drainage Problem,North Zone,Low,Drainage Department,2,Sewage overflow in North Zone,8,1,2,February,Saturday,6
CMP000092,2024-06-05,2024-06-18,Street Light Failure,East Zone,Low,Electricity Department,3,Street light not working for a week in East Zone,13,1,6,June,Wednesday,23
CMP000093,2024-01-15,2024-01-28,Garbage Collection,North Zone,Low,Sanitation Department,3,Overflowing trash bins in North Zone,13,1,1,January,Monday,3
CMP000094,2024-10-27,2024-11-13,Road Damage,East Zone,High,Roads Department,3,Large pothole on main road in East Zone,17,3,10,October,Sunday,43
CMP000095,2024-03-05,2024-03-22,Street Light Failure,North Zone,Low,Electricity Department,1,Faulty street lamp in North Zone,17,1,3,March,Tuesday,10
CMP000096,2024-12-10,2024-12-15,Road Damage,South Zone,Low,Roads Department,5,Large pothole on main road in South Zone,5,1,12,December,Tuesday,50
CMP000097,2024-11-22,2024-11-28,Street Light Failure,North Zone,Low,Electricity Department,4,Street light not working for a week in North Zone,6,1,11,November,Friday,47
CMP000098,2024-01-09,2024-01-28,Road Damage,Central Zone,Medium,Roads Department,2,Large pothole on main road in Central Zone,19,2,1,January,Tuesday,2
CMP000099,2024-12-09,2024-12-22,Public Safety,West Zone,High,Police Department,3,Missing street signs in West Zone,13,3,12,December,Monday,50
CMP000100,2024-05-08,2024-06-02,Garbage Collection,Central Zone,Low,Sanitation Department,1,Garbage not collected for 3 days in Central Zone,25,1,5,May,Wednesday,19
CMP000101,2024-05-15,2024-06-12,Garbage Collection,South Zone,Low,Sanitation Department,3,Garbage not collected for 3 days in South Zone,28,1,5,May,Wednesday,20
CMP000102,2024-03-03,2024-03-29,Garbage Collection,South Zone,Low,Sanitation Department,1,Overflowing trash bins in South Zone,26,1,3,March,Sunday,9
CMP000103,2024-05-18,2024-06-01,Street Light Failure,South Zone,Low,Electricity Department,4,Faulty street lamp in South Zone,14,1,5,May,Saturday,20
CMP000104,2024-03-21,2024-04-12,Street Light Failure,North Zone,Low,Electricity Department,2,Faulty street lamp in North Zone,22,1,3,March,Thursday,12
CMP000105,2024-06-11,2024-06-15,Drainage Problem,West Zone,Medium,Drainage Department,5,Sewage overflow in West Zone,4,2,6,June,Tuesday,24
CMP000106,2024-10-15,2024-11-12,Traffic Congestion,South Zone,Medium,Traffic Department,2,Signal not working in South Zone,28,2,10,October,Tuesday,42
CMP000107,2024-09-17,2024-09-24,Road Damage,South Zone,Medium,Roads Department,4,Uneven road surface in South Zone,7,2,9,September,Tuesday,38
CMP000108,2024-08-18,2024-08-26,Public Safety,East Zone,Low,Police Department,3,Unsafe area at night in East Zone,8,1,8,August,Sunday,33
CMP000109,2024-02-10,2024-03-06,Garbage Collection,East Zone,Low,Sanitation Department,1,Overflowing trash bins in East Zone,25,1,2,February,Saturday,6
CMP000110,2024-01-28,2024-02-10,Drainage Problem,Central Zone,Medium,Drainage Department,3,Drainage pipe broken in Central Zone,13,2,1,January,Sunday,4
CMP000111,2024-05-14,2024-06-10,Water Supply,South Zone,Medium,Water Department,1,Water supply irregular in South Zone,27,2,5,May,Tuesday,20
CMP000112,2024-07-19,2024-07-25,Street Light Failure,West Zone,Low,Electricity Department,4,Dark area at night in West Zone,6,1,7,July,Friday,29
CMP000113,2024-11-23,2024-11-29,Street Light Failure,South Zone,High,Electricity Department,3,Faulty street lamp in South Zone,6,3,11,November,Saturday,47
CMP000114,2024-09-24,2024-10-18,Street Light Failure,Central Zone,Low,Electricity Department,3,Street light not working for a week in Central Zone,24,1,9,September,Tuesday,39
CMP000115,2024-02-02,2024-03-01,Garbage Collection,East Zone,Low,Sanitation Department,2,Overflowing trash bins in East Zone,28,1,2,February,Friday,5
CMP000116,2024-02-17,2024-03-09,Water Supply,West Zone,Low,Water Department,3,No water since morning in West Zone,21,1,2,February,Saturday,7
CMP000117,2024-03-02,2024-03-05,Road Damage,North Zone,High,Roads Department,4,Large pothole on main road in North Zone,3,3,3,March,Saturday,9
CMP000118,2024-08-03,2024-08-31,Drainage Problem,West Zone,Low,Drainage Department,2,Sewage overflow in West Zone,28,1,8,August,Saturday,31
CMP000119,2024-10-19,2024-10-22,Water Supply,South Zone,High,Water Department,5,Water supply irregular in South Zone,3,3,10,October,Saturday,42
CMP000120,2024-04-08,2024-04-21,Drainage Problem,East Zone,Low,Drainage Department,3,Sewage overflow in East Zone,13,1,4,April,Monday,15
CMP000121,2024-06-20,2024-07-12,Water Supply,Central Zone,Low,Water Department,3,Water supply irregular in Central Zone,22,1,6,June,Thursday,25
CMP000122,2024-12-25,2024-12-27,Road Damage,Central Zone,Medium,Roads Department,5,Large pothole on main road in Central Zone,2,2,12,December,Wednesday,52
CMP000123,2024-08-01,2024-08-17,Traffic Congestion,East Zone,Low,Traffic Department,1,Heavy traffic jam in East Zone,16,1,8,August,Thursday,31
CMP000124,2024-02-04,2024-02-26,Road Damage,West Zone,Low,Roads Department,3,Large pothole on main road in West Zone,22,1,2,February,Sunday,5
CMP000125,2024-08-14,2024-09-12,Public Safety,North Zone,Low,Police Department,2,Suspicious activity in North Zone,29,1,8,August,Wednesday,33
CMP000126,2024-04-10,2024-04-16,Street Light Failure,West Zone,High,Electricity Department,5,Street light not working for a week in West Zone,6,3,4,April,Wednesday,15
CMP000127,2024-05-10,2024-05-18,Road Damage,West Zone,Medium,Roads Department,3,Road cracking in West Zone,8,2,5,May,Friday,19
CMP000128,2024-09-13,2024-10-06,Garbage Collection,East Zone,Low,Sanitation Department,3,Missed garbage pickup in East Zone,23,1,9,September,Friday,37
CMP000129,2024-01-05,2024-01-13,Water Supply,Central Zone,Low,Water Department,4,Water supply irregular in Central Zone,8,1,1,January,Friday,1
CMP000130,2024-08-05,2024-08-30,Water Supply,West Zone,Medium,Water Department,1,Water supply irregular in West Zone,25,2,8,August,Monday,32
CMP000131,2024-09-11,2024-09-17,Traffic Congestion,South Zone,Low,Traffic Department,4,Signal not working in South Zone,6,1,9,September,Wednesday,37
CMP000132,2024-12-24,2025-01-07,Garbage Collection,West Zone,Low,Sanitation Department,3,Overflowing trash bins in West Zone,14,1,12,December,Tuesday,52
CMP000133,2024-10-09,2024-10-12,Garbage Collection,North Zone,Low,Sanitation Department,5,Missed garbage pickup in North Zone,3,1,10,October,Wednesday,41
CMP000134,2024-07-25,2024-08-04,Garbage Collection,West Zone,Medium,Sanitation Department,4,Missed garbage pickup in West Zone,10,2,7,July,Thursday,30
CMP000135,2024-01-15,2024-01-18,Garbage Collection,West Zone,Low,Sanitation Department,5,Overflowing trash bins in West Zone,3,1,1,January,Monday,3
CMP000136,2024-12-11,2025-01-07,Water Supply,North Zone,Medium,Water Department,2,Water supply irregular in North Zone,27,2,12,December,Wednesday,50
CMP000137,2024-02-11,2024-02-23,Drainage Problem,West Zone,Medium,Drainage Department,3,Sewage overflow in West Zone,12,2,2,February,Sunday,6
CMP000138,2024-06-27,2024-07-14,Traffic Congestion,East Zone,High,Traffic Department,1,Road blocked due to congestion in East Zone,17,3,6,June,Thursday,26
CMP000139,2024-03-03,2024-03-30,Traffic Congestion,East Zone,Medium,Traffic Department,1,Heavy traffic jam in East Zone,27,2,3,March,Sunday,9
CMP000140,2024-12-17,2025-01-15,Traffic Congestion,South Zone,Low,Traffic Department,2,Road blocked due to congestion in South Zone,29,1,12,December,Tuesday,51
CMP000141,2024-08-18,2024-08-23,Garbage Collection,South Zone,Medium,Sanitation Department,3,Overflowing trash bins in South Zone,5,2,8,August,Sunday,33
CMP000142,2024-08-28,2024-09-17,Drainage Problem,West Zone,High,Drainage Department,1,Drainage pipe broken in West Zone,20,3,8,August,Wednesday,35
CMP000143,2024-02-21,2024-03-17,Garbage Collection,South Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in South Zone,25,1,2,February,Wednesday,8
CMP000144,2024-04-05,2024-04-14,Water Supply,East Zone,Low,Water Department,2,Water supply irregular in East Zone,9,1,4,April,Friday,14
CMP000145,2024-08-09,2024-08-30,Road Damage,West Zone,Low,Roads Department,1,Uneven road surface in West Zone,21,1,8,August,Friday,32
CMP000146,2024-08-18,2024-09-13,Garbage Collection,North Zone,High,Sanitation Department,1,Garbage not collected for 3 days in North Zone,26,3,8,August,Sunday,33
CMP000147,2024-08-24,2024-09-13,Traffic Congestion,East Zone,Low,Traffic Department,3,Road blocked due to congestion in East Zone,20,1,8,August,Saturday,34
CMP000148,2024-05-22,2024-05-29,Water Supply,East Zone,Low,Water Department,3,Water supply irregular in East Zone,7,1,5,May,Wednesday,21
CMP000149,2024-06-19,2024-07-11,Traffic Congestion,West Zone,Medium,Traffic Department,3,Signal not working in West Zone,22,2,6,June,Wednesday,25
CMP000150,2024-01-29,2024-02-02,Road Damage,South Zone,High,Roads Department,3,Large pothole on main road in South Zone,4,3,1,January,Monday,5
CMP000151,2024-02-05,2024-02-18,Garbage Collection,East Zone,Low,Sanitation Department,4,Missed garbage pickup in East Zone,13,1,2,February,Monday,6
CMP000152,2024-01-13,2024-01-26,Traffic Congestion,South Zone,Medium,Traffic Department,3,Heavy traffic jam in South Zone,13,2,1,January,Saturday,2
CMP000153,2024-06-08,2024-06-18,Garbage Collection,West Zone,High,Sanitation Department,4,Garbage not collected for 3 days in West Zone,10,3,6,June,Saturday,23
CMP000154,2024-11-22,2024-12-10,Road Damage,North Zone,Low,Roads Department,3,Uneven road surface in North Zone,18,1,11,November,Friday,47
CMP000155,2024-07-05,2024-07-22,Garbage Collection,Central Zone,Medium,Sanitation Department,2,Garbage not collected for 3 days in Central Zone,17,2,7,July,Friday,27
CMP000156,2024-08-30,2024-09-19,Street Light Failure,West Zone,Medium,Electricity Department,3,Faulty street lamp in West Zone,20,2,8,August,Friday,35
CMP000157,2024-03-26,2024-04-15,Street Light Failure,Central Zone,High,Electricity Department,2,Street light not working for a week in Central Zone,20,3,3,March,Tuesday,13
CMP000158,2024-10-10,2024-10-23,Water Supply,East Zone,Medium,Water Department,4,Water supply irregular in East Zone,13,2,10,October,Thursday,41
CMP000159,2024-03-06,2024-03-23,Public Safety,South Zone,High,Police Department,2,Unsafe area at night in South Zone,17,3,3,March,Wednesday,10
CMP000160,2024-06-18,2024-07-10,Drainage Problem,Central Zone,Low,Drainage Department,3,Drainage pipe broken in Central Zone,22,1,6,June,Tuesday,25
CMP000161,2024-02-14,2024-02-18,Street Light Failure,North Zone,Low,Electricity Department,5,Dark area at night in North Zone,4,1,2,February,Wednesday,7
CMP000162,2024-03-02,2024-03-03,Street Light Failure,North Zone,Low,Electricity Department,4,Faulty street lamp in North Zone,1,1,3,March,Saturday,9
CMP000163,2024-05-13,2024-05-14,Garbage Collection,South Zone,Low,Sanitation Department,5,Garbage not collected for 3 days in South Zone,1,1,5,May,Monday,20
CMP000164,2024-10-10,2024-10-25,Street Light Failure,Central Zone,High,Electricity Department,3,Street light not working for a week in Central Zone,15,3,10,October,Thursday,41
CMP000165,2024-01-28,2024-02-10,Garbage Collection,West Zone,Low,Sanitation Department,4,Overflowing trash bins in West Zone,13,1,1,January,Sunday,4
CMP000166,2024-04-17,2024-05-04,Garbage Collection,East Zone,Low,Sanitation Department,3,Overflowing trash bins in East Zone,17,1,4,April,Wednesday,16
CMP000167,2024-02-13,2024-03-08,Public Safety,West Zone,Low,Police Department,1,Missing street signs in West Zone,24,1,2,February,Tuesday,7
CMP000168,2024-12-05,2024-12-31,Street Light Failure,East Zone,Low,Electricity Department,2,Faulty street lamp in East Zone,26,1,12,December,Thursday,49
CMP000169,2024-10-12,2024-10-20,Water Supply,West Zone,Low,Water Department,3,Water supply irregular in West Zone,8,1,10,October,Saturday,41
CMP000170,2024-11-26,2024-12-14,Water Supply,South Zone,Low,Water Department,1,No water since morning in South Zone,18,1,11,November,Tuesday,48
CMP000171,2024-05-07,2024-06-03,Road Damage,West Zone,High,Roads Department,2,Large pothole on main road in West Zone,27,3,5,May,Tuesday,19
CMP000172,2024-12-13,2024-12-26,Garbage Collection,South Zone,Low,Sanitation Department,3,Missed garbage pickup in South Zone,13,1,12,December,Friday,50
CMP000173,2024-08-18,2024-09-10,Garbage Collection,South Zone,Medium,Sanitation Department,1,Garbage not collected for 3 days in South Zone,23,2,8,August,Sunday,33
CMP000174,2024-07-08,2024-07-22,Garbage Collection,East Zone,Medium,Sanitation Department,3,Missed garbage pickup in East Zone,14,2,7,July,Monday,28
CMP000175,2024-08-12,2024-08-20,Road Damage,East Zone,Medium,Roads Department,2,Road cracking in East Zone,8,2,8,August,Monday,33
CMP000176,2024-10-09,2024-10-17,Road Damage,West Zone,Low,Roads Department,4,Uneven road surface in West Zone,8,1,10,October,Wednesday,41
CMP000177,2024-04-30,2024-05-27,Garbage Collection,South Zone,High,Sanitation Department,2,Missed garbage pickup in South Zone,27,3,4,April,Tuesday,18
CMP000178,2024-04-25,2024-05-21,Street Light Failure,South Zone,Medium,Electricity Department,1,Faulty street lamp in South Zone,26,2,4,April,Thursday,17
CMP000179,2024-08-20,2024-09-04,Garbage Collection,East Zone,Low,Sanitation Department,2,Garbage not collected for 3 days in East Zone,15,1,8,August,Tuesday,34
CMP000180,2024-09-15,2024-10-12,Street Light Failure,East Zone,Low,Electricity Department,1,Faulty street lamp in East Zone,27,1,9,September,Sunday,37
CMP000181,2024-12-24,2025-01-06,Public Safety,North Zone,Low,Police Department,4,Unsafe area at night in North Zone,13,1,12,December,Tuesday,52
CMP000182,2024-07-16,2024-07-23,Street Light Failure,East Zone,Medium,Electricity Department,4,Faulty street lamp in East Zone,7,2,7,July,Tuesday,29
CMP000183,2024-05-16,2024-05-21,Drainage Problem,South Zone,Medium,Drainage Department,5,Sewage overflow in South Zone,5,2,5,May,Thursday,20
CMP000184,2024-11-13,2024-11-30,Public Safety,South Zone,Low,Police Department,2,Unsafe area at night in South Zone,17,1,11,November,Wednesday,46
CMP000185,2024-06-13,2024-07-11,Road Damage,South Zone,Low,Roads Department,3,Uneven road surface in South Zone,28,1,6,June,Thursday,24
CMP000186,2024-08-12,2024-09-06,Street Light Failure,Central Zone,High,Electricity Department,1,Faulty street lamp in Central Zone,25,3,8,August,Monday,33
CMP000187,2024-11-02,2024-12-01,Drainage Problem,West Zone,High,Drainage Department,1,Blocked drain causing water logging in West Zone,29,3,11,November,Saturday,44
CMP000188,2024-08-21,2024-09-06,Water Supply,South Zone,Medium,Water Department,3,Low water pressure in South Zone,16,2,8,August,Wednesday,34
