complaint_id,date_complaint,date_resolved,category,zone,department,priority,citizen_satisfaction,resolution_delay
C00147,2024-05-22,2024-05-29,Road,Central,Electric Dept,High,3,7
C00148,2024-06-19,2024-07-11,Safety,East,Traffic Dept,Low,4,22
C00149,2024-01-29,2024-02-02,Safety,South,Electric Dept,Low,3,4
C00150,2024-02-05,2024-02-18,Safety,West,Drainage Dept,High,5,13
C00151,2024-01-13,2024-01-26,Garbage,East,Traffic Dept,Medium,2,13
C00152,2024-06-08,2024-06-18,Lights,East,Drainage Dept,High,5,10
C00153,2024-11-22,2024-12-10,Water,North,Traffic Dept,Medium,3,18
C00154,2024-07-05,2024-07-22,Lights,West,Safety Dept,Low,5,17
C00155,2024-08-30,2024-09-19,Traffic,Central,Roads Dept,High,1,20
C00156,2024-03-26,2024-04-15,Garbage,East,Sanitation,Low,3,20
C00157,2024-10-10,2024-10-23,Safety,East,Drainage Dept,Low,5,13
C00158,2024-03-06,2024-03-23,Drainage,South,Water Dept,Medium,4,17
C00159,2024-06-18,2024-07-10,Road,North,Water Dept,Medium,3,22
C00160,2024-02-14,2024-02-18,Garbage,East,Roads Dept,High,1,4
C00161,2024-03-02,2024-03-03,Traffic,East,Roads Dept,High,4,1
C00162,2024-05-13,2024-05-14,Safety,Central,Safety Dept,High,3,1
C00163,2024-10-10,2024-10-25,Traffic,Central,Water Dept,Low,4,15
C00164,2024-01-28,2024-02-10,Traffic,South,Drainage Dept,Medium,3,13
C00165,2024-04-17,2024-05-04,Safety,South,Water Dept,Medium,3,17
C00166,2024-02-13,2024-03-08,Traffic,South,Sanitation,High,2,24
C00167,2024-12-05,2024-12-31,Water,Central,Traffic Dept,Low,5,26
C00168,2024-10-12,2024-10-20,Road,Central,Sanitation,Low,3,8
C00169,2024-11-26,2024-12-14,Drainage,North,Safety Dept,High,1,18
C00170,2024-05-07,2024-06-03,Traffic,West,Safety Dept,Low,5,27
C00171,2024-12-13,2024-12-26,Traffic,West,Water Dept,Medium,2,13
C00172,2024-08-18,2024-09-10,Lights,North,Traffic Dept,Low,5,23
C00173,2024-07-08,2024-07-22,Road,West,Water Dept,Low,5,14
C00174,2024-08-12,2024-08-20,Garbage,Central,Sanitation,Medium,3,8
C00175,2024-10-09,2024-10-17,Road,West,Sanitation,Low,1,8
C00176,2024-04-30,2024-05-27,Road,Central,Drainage Dept,Medium,3,27
C00177,2024-04-25,2024-05-21,Safety,North,Drainage Dept,Low,1,26
C00178,2024-08-20,2024-09-04,Safety,South,Sanitation,Low,1,15
C00179,2024-09-15,2024-10-12,Safety,North,Traffic Dept,Low,4,27
C00180,2024-12-24,2025-01-06,Drainage,West,Safety Dept,Medium,3,13
C00181,2024-07-16,2024-07-23,Road,Central,Drainage Dept,Low,2,7
C00182,2024-05-16,2024-05-21,Drainage,West,Drainage Dept,Medium,5,5
C00183,2024-11-13,2024-11-30,Traffic,West,Electric Dept,Medium,4,17
C00184,2024-06-13,2024-07-11,Safety,South,Electric Dept,Medium,2,28
C00185,2024-08-12,2024-09-06,Traffic,West,Drainage Dept,Medium,3,25
C00186,2024-11-02,2024-12-01,Safety,South,Water Dept,Low,1,29
C00187,2024-08-21,2024-09-06,Water,Central,Traffic Dept,Low,3,16
C00188,2024-06-20,2024-07-13,Drainage,Central,Roads Dept,Medium,3,23
C00189,2024-05-31,2024-06-02,Drainage,South,Drainage Dept,Low,4,2
C00190,2024-11-10,2024-12-02,Garbage,North,Electric Dept,High,2,22
C00191,2024-06-08,2024-06-26,Lights,Central,Traffic Dept,High,4,18
C00192,2024-04-05,2024-04-22,Road,North,Traffic Dept,Low,2,17
C00193,2024-08-20,2024-08-27,Garbage,Central,Electric Dept,Medium,4,7
C00194,2024-06-28,2024-07-11,Drainage,Central,Traffic Dept,High,5,13
C00195,2024-04-22,2024-05-10,Garbage,East,Traffic Dept,Low,1,18
C00196,2024-11-13,2024-12-12,Water,West,Electric Dept,Medium,1,29
C00197,2024-02-21,2024-03-06,Lights,West,Sanitation,Low,1,14
C00198,2024-09-24,2024-10-12,Drainage,North,Drainage Dept,Medium,5,18
C00199,2024-10-21,2024-11-03,Drainage,West,Water Dept,High,5,13
C00200,2024-04-22,2024-05-03,Road,North,Roads Dept,Medium,1,11
C00201,2024-04-10,2024-05-01,Safety,Central,Water Dept,Medium,1,21
C00202,2024-04-22,2024-05-13,Lights,East,Sanitation,High,2,21
C00203,2024-03-21,2024-04-06,Water,East,Safety Dept,Medium,2,16
C00204,2024-07-05,2024-07-28,Traffic,Central,Sanitation,Medium,3,23
C00205,2024-04-22,2024-05-09,Garbage,South,Traffic Dept,Medium,4,17
C00206,2024-01-02,2024-01-10,Road,South,Water Dept,Medium,2,8
C00207,2024-05-09,2024-05-28,Drainage,West,Sanitation,High,2,19
C00208,2024-08-07,2024-08-27,Traffic,North,Water Dept,High,2,20
C00209,2024-02-23,2024-03-09,Water,East,Sanitation,Medium,2,15
C00210,2024-12-08,2024-12-17,Lights,West,Roads Dept,Medium,5,9
C00211,2024-08-11,2024-08-31,Garbage,Central,Sanitation,Low,3,20
C00212,2024-08-12,2024-08-22,Road,East,Water Dept,High,2,10
C00213,2024-05-05,2024-05-17,Drainage,North,Traffic Dept,Medium,4,12
C00214,2024-05-09,2024-05-30,Drainage,North,Water Dept,Medium,2,21
C00215,2024-02-22,2024-03-16,Traffic,South,Electric Dept,Low,5,23
C00216,2024-06-20,2024-07-10,Traffic,West,Water Dept,High,1,20
C00217,2024-08-05,2024-08-06,Garbage,Central,Roads Dept,Low,1,1
C00218,2024-06-08,2024-07-03,Lights,East,Drainage Dept,Low,3,25
C00219,2024-07-16,2024-08-05,Water,North,Roads Dept,Medium,1,20
C00220,2024-09-03,2024-09-12,Safety,East,Roads Dept,Medium,2,9
C00221,2024-11-19,2024-12-11,Lights,Central,Sanitation,Low,5,22
C00222,2024-07-21,2024-08-05,Lights,East,Roads Dept,Medium,3,15
C00223,2024-07-02,2024-07-03,Lights,West,Water Dept,Low,2,1
C00224,2024-05-02,2024-05-14,Safety,South,Drainage Dept,Low,1,12
C00225,2024-09-11,2024-09-14,Garbage,East,Safety Dept,Low,4,3
C00226,2024-10-20,2024-10-31,Safety,South,Traffic Dept,High,2,11
C00227,2024-10-06,2024-10-08,Garbage,Central,Safety Dept,Low,4,2
C00228,2024-11-20,2024-12-06,Safety,South,Roads Dept,Low,4,16
C00229,2024-04-07,2024-04-16,Water,East,Water Dept,Medium,3,9
C00230,2024-07-16,2024-07-31,Lights,East,Sanitation,Low,5,15
C00231,2024-08-27,2024-09-08,Garbage,North,Sanitation,Medium,1,12
C00232,2024-05-23,2024-05-24,Safety,East,Traffic Dept,High,1,1
C00233,2024-04-06,2024-04-19,Water,South,Traffic Dept,High,2,13
C00234,2024-07-19,2024-08-02,Safety,North,Water Dept,Low,1,14
C00235,2024-05-03,2024-05-28,Drainage,East,Traffic Dept,Medium,3,25
C00236,2024-07-05,2024-07-30,Water,East,Traffic Dept,Medium,1,25
C00237,2024-11-21,2024-11-29,Lights,Central,Sanitation,Low,2,8
C00238,2024-12-14,2024-12-22,Road,North,Water Dept,Low,1,8
C00239,2024-09-15,2024-10-12,Lights,Central,Drainage Dept,Low,5,27
C00240,2024-05-27,2024-06-08,Road,Central,Traffic Dept,Low,4,12
C00241,2024-09-08,2024-09-09,Water,Central,Water Dept,High,4,1
C00242,2024-12-11,2024-12-22,Drainage,West,Roads Dept,Medium,4,11
C00243,2024-05-26,2024-06-03,Drainage,Central,Sanitation,Low,5,8
C00244,2024-05-27,2024-06-06,Garbage,South,Drainage Dept,Low,3,10
C00245,2024-12-17,2025-01-05,Drainage,East,Sanitation,High,2,19
C00246,2024-07-17,2024-07-28,Traffic,West,Sanitation,Low,5,11
C00247,2024-11-03,2024-11-10,Water,Central,Electric Dept,Medium,2,7
C00248,2024-05-07,2024-05-18,Garbage,East,Water Dept,Low,3,11
C00249,2024-02-08,2024-02-25,Drainage,North,Roads Dept,High,5,17
C00250,2024-12-03,2024-12-04,Water,North,Traffic Dept,Medium,1,1
C00251,2024-12-25,2025-01-20,Lights,East,Roads Dept,Low,3,26
C00252,2024-05-08,2024-06-06,Drainage,South,Water Dept,Low,4,29
C00253,2024-09-23,2024-10-14,Safety,East,Sanitation,Medium,5,21
C00254,2024-05-30,2024-06-20,Road,East,Electric Dept,High,3,21
C00255,2024-10-24,2024-11-01,Water,West,Water Dept,Low,3,8
C00256,2024-04-08,2024-05-01,Garbage,North,Drainage Dept,Medium,5,23
C00257,2024-09-19,2024-10-13,Lights,North,Drainage Dept,Low,4,24
C00258,2024-09-08,2024-09-14,Traffic,Central,Water Dept,High,4,6
C00259,2024-05-23,2024-06-14,Lights,East,Traffic Dept,Medium,3,22
C00260,2024-12-11,2024-12-29,Drainage,East,Roads Dept,Low,2,18
C00261,2024-04-21,2024-04-27,Road,South,Roads Dept,Low,3,6
C00262,2024-02-29,2024-03-05,Lights,North,Traffic Dept,Low,5,5
C00263,2024-01-02,2024-01-15,Traffic,South,Electric Dept,Medium,5,13
C00264,2024-10-30,2024-11-18,Safety,West,Sanitation,Low,5,19
C00265,2024-09-10,2024-10-02,Garbage,Central,Safety Dept,Low,4,22
C00266,2024-05-19,2024-05-27,Water,South,Safety Dept,High,1,8
C00267,2024-02-06,2024-02-15,Road,North,Sanitation,Low,5,9
C00268,2024-06-08,2024-06-25,Traffic,West,Drainage Dept,Medium,5,17
C00269,2024-01-09,2024-01-12,Drainage,East,Electric Dept,Low,2,3
C00270,2024-08-20,2024-09-08,Drainage,West,Traffic Dept,Low,2,19
C00271,2024-04-08,2024-04-19,Drainage,South,Safety Dept,Low,3,11
C00272,2024-05-26,2024-06-19,Road,North,Water Dept,Medium,3,24
C00273,2024-10-30,2024-11-16,Lights,South,Roads Dept,Medium,3,17
C00274,2024-07-26,2024-08-16,Road,East,Water Dept,High,5,21
C00275,2024-05-10,2024-05-29,Drainage,East,Roads Dept,Low,2,19
C00276,2024-05-31,2024-06-02,Safety,North,Water Dept,Low,3,2
C00277,2024-02-23,2024-03-02,Traffic,Central,Traffic Dept,High,2,8
C00278,2024-04-29,2024-05-18,Water,West,Traffic Dept,Low,5,19
C00279,2024-06-09,2024-06-16,Water,West,Electric Dept,Low,5,7
C00280,2024-04-25,2024-05-23,Road,East,Water Dept,Low,3,28
C00281,2024-03-15,2024-04-11,Drainage,South,Water Dept,Medium,5,27
C00282,2024-04-22,2024-05-09,Garbage,South,Electric Dept,High,5,17
C00283,2024-04-13,2024-04-19,Safety,Central,Electric Dept,Low,2,6
C00284,2024-12-05,2024-12-24,Road,South,Traffic Dept,Low,1,19
C00285,2024-09-10,2024-10-04,Drainage,West,Traffic Dept,Medium,4,24
C00286,2024-08-14,2024-08-20,Lights,South,Drainage Dept,High,3,6
C00287,2024-04-21,2024-05-19,Water,Central,Water Dept,Low,1,28
C00288,2024-04-08,2024-04-10,Water,West,Traffic Dept,High,3,2
C00289,2024-06-01,2024-06-07,Safety,South,Safety Dept,Low,1,6
C00290,2024-12-14,2025-01-06,Water,West,Traffic Dept,Low,5,23
C00291,2024-12-03,2024-12-08,Garbage,East,Water Dept,Low,3,5
C00292,2024-07-12,2024-07-31,Drainage,East,Electric Dept,Low,1,19
C00293,2024-11-05,2024-11-25,Drainage,East,Water Dept,Low,4,20
C00294,2024-06-11,2024-06-15,Safety,South,Safety Dept,High,5,4
C00295,2024-07-26,2024-08-17,Drainage,Central,Sanitation,Low,3,22
C00296,2024-06-17,2024-07-13,Safety,West,Water Dept,Low,3,26
C00297,2024-06-09,2024-06-26,Drainage,North,Sanitation,Low,1,17
C00298,2024-03-08,2024-03-19,Garbage,East,Water Dept,Medium,3,11
C00299,2024-10-15,2024-10-19,Traffic,East,Safety Dept,High,5,4
C00300,2024-10-03,2024-10-29,Road,North,Sanitation,Low,2,26
C00301,2024-10-30,2024-11-12,Road,North,Sanitation,Low,1,13
C00302,2024-05-14,2024-06-03,Drainage,South,Safety Dept,Low,4,20
C00303,2024-07-13,2024-08-08,Lights,West,Water Dept,Low,3,26
C00304,2024-05-07,2024-05-24,Water,East,Drainage Dept,Low,5,17
C00305,2024-02-02,2024-02-11,Garbage,Central,Traffic Dept,Medium,3,9
C00306,2024-06-24,2024-06-28,Lights,South,Roads Dept,Medium,4,4
C00307,2024-01-22,2024-02-14,Lights,South,Traffic Dept,Medium,5,23
C00308,2024-08-25,2024-09-22,Drainage,Central,Sanitation,Low,4,28
C00309,2024-06-06,2024-06-20,Garbage,Central,Water Dept,Low,5,14
C00310,2024-02-07,2024-02-26,Road,Central,Water Dept,Medium,2,19
C00311,2024-08-17,2024-09-12,Water,North,Water Dept,Medium,5,26
C00312,2024-12-30,2025-01-27,Road,East,Water Dept,Low,4,28
C00313,2024-02-20,2024-02-23,Lights,North,Drainage Dept,High,1,3
C00314,2024-09-20,2024-10-04,Water,East,Roads Dept,Low,2,14
C00315,2024-10-09,2024-10-17,Traffic,North,Electric Dept,Low,3,8
C00316,2024-01-27,2024-02-20,Lights,West,Sanitation,Low,2,24
C00317,2024-08-13,2024-09-09,Road,East,Roads Dept,High,2,27
C00318,2024-10-03,2024-10-31,Road,South,Traffic Dept,Low,3,28
C00319,2024-10-12,2024-10-13,Drainage,East,Electric Dept,High,5,1
C00320,2024-04-06,2024-04-16,Road,East,Electric Dept,Low,2,10
C00321,2024-10-10,2024-10-28,Garbage,East,Water Dept,Low,2,18
C00322,2024-11-12,2024-11-28,Lights,West,Roads Dept,Medium,1,16
C00323,2024-10-30,2024-11-07,Safety,North,Traffic Dept,Low,1,8
C00324,2024-05-26,2024-05-27,Safety,South,Water Dept,Low,4,1
C00325,2024-01-04,2024-01-16,Water,North,Water Dept,Low,3,12
C00326,2024-02-04,2024-02-12,Road,North,Safety Dept,High,5,8
C00327,2024-07-10,2024-08-03,Drainage,Central,Safety Dept,Medium,5,24
C00328,2024-02-18,2024-03-05,Drainage,West,Safety Dept,Low,4,16
C00329,2024-01-17,2024-02-04,Road,Central,Drainage Dept,Low,5,18
C00330,2024-06-20,2024-06-24,Garbage,West,Sanitation,Medium,5,4
C00331,2024-08-07,2024-08-13,Drainage,North,Electric Dept,Low,1,6
C00332,2024-06-06,2024-06-18,Safety,North,Traffic Dept,Low,5,12
C00333,2024-02-15,2024-03-13,Water,West,Electric Dept,Low,5,27
C00334,2024-01-06,2024-01-15,Lights,North,Roads Dept,Medium,4,9
C00335,2024-04-08,2024-04-23,Traffic,North,Sanitation,Low,4,15
C00336,2024-08-20,2024-09-05,Garbage,South,Water Dept,Medium,2,16
C00337,2024-02-06,2024-03-01,Drainage,Central,Sanitation,Medium,5,24
C00338,2024-10-06,2024-10-18,Lights,Central,Water Dept,High,5,12
C00339,2024-12-14,2025-01-07,Traffic,Central,Safety Dept,Medium,5,24
C00340,2024-10-28,2024-11-20,Road,East,Sanitation,Low,1,23
C00341,2024-06-29,2024-07-13,Road,South,Water Dept,Medium,5,14
C00342,2024-04-04,2024-04-17,Water,Central,Electric Dept,High,1,13
C00343,2024-04-08,2024-05-03,Traffic,Central,Safety Dept,Low,2,25
C00344,2024-07-06,2024-07-08,Road,South,Safety Dept,Low,3,2
C00345,2024-04-25,2024-04-28,Road,North,Safety Dept,Low,5,3
C00346,2024-07-09,2024-08-04,Safety,Central,Electric Dept,High,4,26
C00347,2024-09-09,2024-10-03,Drainage,North,Electric Dept,Low,4,24
C00348,2024-06-09,2024-07-01,Water,Central,Electric Dept,Low,5,22
C00349,2024-09-12,2024-09-22,Lights,West,Safety Dept,Medium,1,10
C00350,2024-11-18,2024-11-27,Road,East,Sanitation,High,4,9
C00351,2024-05-07,2024-06-02,Safety,Central,Water Dept,Low,4,26
C00352,2024-01-18,2024-02-07,Garbage,West,Electric Dept,Medium,2,20
C00353,2024-10-07,2024-10-15,Garbage,South,Sanitation,High,2,8
C00354,2024-08-10,2024-08-20,Lights,West,Water Dept,Low,2,10
C00355,2024-02-23,2024-03-13,Traffic,South,Safety Dept,Medium,4,19
C00356,2024-02-27,2024-03-01,Water,Central,Sanitation,Medium,4,3
C00357,2024-11-18,2024-12-12,Safety,South,Safety Dept,High,5,24
C00358,2024-12-25,2024-12-30,Drainage,West,Drainage Dept,Medium,5,5
C00359,2024-06-22,2024-06-25,Safety,East,Electric Dept,High,1,3
C00360,2024-10-06,2024-11-01,Garbage,North,Roads Dept,Low,4,26
C00361,2024-04-23,2024-05-20,Garbage,North,Sanitation,Low,5,27
